uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Innes_Motors_74_B2_Southern_Overall_NPS,,Innes Motors_74,Innes Motors_74,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,92.9,85.7,78.6,57.2,76.8,64.3,78.6,92.9,85.7,78.6,71.5,100,78.6,85.7,92.9,78.6,85.7,78.6,78.6,78.6
Ballarat_Subaru_121_B2_Southern_Overall_NPS,,Ballarat Subaru_121,Ballarat Subaru_121,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,77.9,85,75.4,72.9,78.4,87.9,90.4,59,52.5,80,65,80,82.5,77.5,72.5,72.9,89.5,75,75,75
Subaru_Geelong_90_A_Southern_Overall_NPS,,Subaru Geelong_90,Subaru Geelong_90,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,72.5,72.5,75,74.4,87.5,90,67.5,90,75.8,80,85,74.2,85,76.7,67.5,79.2,79.2,79.2,79.2
Frankston_Subaru_110_A_Southern_Overall_NPS,,Frankston Subaru_110,Frankston Subaru_110,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper_Automobiles_47_C2_Southern_Overall_NPS,,Cooper Automobiles_47,Cooper Automobiles_47,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,100,100,50,96.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Traralgon_Subaru_38_B2_Southern_Overall_NPS,,Traralgon Subaru_38,Traralgon Subaru_38,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankston_Subaru_0110a_A_Southern_Overall_NPS,,Frankston Subaru_0110a,Frankston Subaru_0110a,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auto_Synergy_105_C1_Southern_Overall_NPS,,Auto Synergy_105,Auto Synergy_105,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,100,75,87.5,83,87.5,70.9,62.5,87.5,37.5,100,25,87.5,100,75,75,87.5,25,100,87.5
Cooper_Subaru_Hamilton_108_C2_Southern_Overall_NPS,,Cooper Subaru Hamilton_108,Cooper Subaru Hamilton_108,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,50,0,0,0
Progressive_Motors_71_C2_Southern_Overall_NPS,,Progressive Motors_71,Progressive Motors_71,Client Data:Subaru Dealers:NPS:Overall:Southern,0.5,0,100,83.4,50,86.2,83.4,100,100,50,100,50,50,100,50,100,100,50,50,50,50
South_Coast_Subaru_1182_C1_Eastern_Overall_NPS,,South Coast Subaru_1182,South Coast Subaru_1182,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,16.7,33.4,66.7,83.4,83.4,83.4,70.9,87.5,87.5,75,83.4,41.7,41.7,83.4,91.7,75
Moss_Vale_Subaru_1195_B2_Eastern_Overall_NPS,,Moss Vale Subaru_1195,Moss Vale Subaru_1195,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.9,57.1,85.7,78.6
Port_Macquarie_Subaru_1618_B2_Eastern_Overall_NPS,,Port Macquarie Subaru_1618,Port Macquarie Subaru_1618,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,80,65,90,67.5,76.2,77.9,65,87.9,65,65.7,72.9,75,80,70,67.9,90,92.9,95,95,95
Rolfe_Subaru_Service_Belconnen_1139a_A_Eastern_Overall_NPS,,Rolfe Subaru Service Belconnen_1139a,Rolfe Subaru Service Belconnen_1139a,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,60,50,65,50,80,45,75,60,65,80,75
Taree_Subaru_1120_C1_Eastern_Overall_NPS,,Taree Subaru_1120,Taree Subaru_1120,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,87.5,75,37.5,80,75,50,25,87.5,87.5,66.7,83.4,50,37.5,100,87.5,87.5,75,100,62.5
Hunter_Subaru_1258_B1_Eastern_Overall_NPS,,Hunter Subaru_1258,Hunter Subaru_1258,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,80,75,81.7,80,69.6,80,65,70,72.5,65,66.4,75,73.8,52.5,83.9,80,48.8,48.8,48.8,48.8
Crossroads_Subaru_1252_B1_Eastern_Overall_NPS,,Crossroads Subaru_1252,Crossroads Subaru_1252,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,80,85,75,65,73.7,75,85,70,60,50,75,85,55,65,70,70,75,65,65,65
Port_Macquarie_Subaru_1618_B1_Eastern_Overall_NPS,,Port Macquarie Subaru_1618,Port Macquarie Subaru_1618,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,85
Jupiter_Motors_1251_B2_Eastern_Overall_NPS,,Jupiter Motors_1251,Jupiter Motors_1251,Client Data:Subaru Dealers:NPS:Overall:Eastern,0.5,78.6,55.7,64.3,57.1,61.5,92.9,85.7,57.1,78.6,71.4,92.9,78.6,92.9,35.7,71.4,85.7,85.7,78.6,85.7,57.1
