uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ford_Focus,,Ford Focus,Ford Focus,Client Data:Competitor Sales and Marketing:All Sales:Impreza Competitors,0.45,1576,1524,1557,1105,1667,1571,1092,1232,1687,1740,1920,1915,2364,1266,1557,1670,1536,2020,,,,,,,,,,,,,,
Nissan_Pulsar,,Nissan Pulsar,Nissan Pulsar,Client Data:Competitor Sales and Marketing:All Sales:Impreza Competitors,0.45,0,0,0,0,0,0,0,0,0,0,0,0,348,1275,1644,1015,1416,2323,,,,,,,,,,,,,,
Honda_Civic,,Honda Civic,Honda Civic,Client Data:Competitor Sales and Marketing:All Sales:Impreza Competitors,0.45,189,153,947,908,1147,672,917,1360,879,1246,1561,1463,1397,1422,1393,1076,1305,1908,,,,,,,,,,,,,,
Mitsubishi_Lancer,,Mitsubishi Lancer,Mitsubishi Lancer,Client Data:Competitor Sales and Marketing:All Sales:Impreza Competitors,0.45,1470,1449,1654,853,1351,1628,999,1231,1315,1035,1302,1034,830,719,725,1381,723,1753,,,,,,,,,,,,,,
Volkswagen_Golf,,Volkswagen Golf,Volkswagen Golf,Client Data:Competitor Sales and Marketing:All Sales:Impreza Competitors,0.45,1051,1314,1349,646,1591,2746,776,1505,1713,2436,992,1170,844,1158,870,1345,1575,1215,,,,,,,,,,,,,,
Hyundai_Elantra,,Hyundai Elantra,Hyundai Elantra,Client Data:Competitor Sales and Marketing:All Sales:Impreza Competitors,0.45,710,663,718,824,720,1065,709,736,595,626,655,676,534,762,874,648,599,934,,,,,,,,,,,,,,
Kia_Cerato,,Kia Cerato,Kia Cerato,Client Data:Competitor Sales and Marketing:All Sales:Impreza Competitors,0.45,578,429,601,706,820,1016,560,709,833,709,578,342,420,392,526,610,451,570,,,,,,,,,,,,,,
Ford_Territory,,Ford Territory,Ford Territory,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,804,1400,1335,1076,1280,1800,1084,1357,1096,1227,1296,891,1161,1316,1059,1260,1139,1574,,,,,,,,,,,,,,
Toyota_Kluger,,Toyota Kluger,Toyota Kluger,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,1105,939,1128,1047,1193,1390,1114,1024,1110,977,1013,1199,960,989,1154,923,968,1330,,,,,,,,,,,,,,
Jeep_Grand_Cherokee,,Jeep Grand Cherokee,Jeep Grand Cherokee,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,430,482,629,635,657,750,672,686,881,877,880,794,913,970,947,639,560,776,,,,,,,,,,,,,,
Hyundai_Santa_Fe,,Hyundai Santa Fe,Hyundai Santa Fe,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,254,296,353,254,412,501,367,260,375,591,575,548,540,612,474,602,497,472,,,,,,,,,,,,,,
Mazda_CX-9,,Mazda CX-9,Mazda CX-9,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,392,451,410,324,356,386,337,346,421,344,341,479,439,383,345,310,358,346,,,,,,,,,,,,,,
Kia_Sorento,,Kia Sorento,Kia Sorento,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,180,183,341,245,280,333,255,342,263,346,287,221,278,289,246,227,268,263,,,,,,,,,,,,,,
Nissan_Pathfinder,,Nissan Pathfinder,Nissan Pathfinder,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,256,150,279,146,192,254,296,238,236,217,208,223,121,74,154,85,114,62,,,,,,,,,,,,,,
Nissan_Murano,,Nissan Murano,Nissan Murano,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,155,171,219,126,231,324,190,183,96,159,153,138,163,114,181,100,165,108,,,,,,,,,,,,,,
Volkswagen_Passat_Alltrack,,Volkswagen Passat Alltrack,Volkswagen Passat Alltrack,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,0,0,0,0,0,0,0,0,0,111,95,76,112,65,56,86,98,72,,,,,,,,,,,,,,
VOLVO_CAR,,VOLVO CAR,VOLVO CAR,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,474,533,412,373,530,617,401,447,482,411,334,361,463,407,374,374,459,586,,,,,,,,,,,,,,
VOLVO_COMMERCIAL,,VOLVO COMMERCIAL,VOLVO COMMERCIAL,Client Data:Competitor Sales and Marketing:All Sales:Outback Competitors,0.45,78,90,106,107,114,109,140,134,123,117,128,105,99,106,99,89,107,115,,,,,,,,,,,,,,
Hyundai_ix35,,Hyundai_ix35,Hyundai_ix35,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,865,845,835,971,921,1360,942,1113,935,742,889,1051,1301,1534,1529,1261,1770,2225,,,,,,,,,,,,,,
Nissan_Dualis,,Nissan_Dualis,Nissan_Dualis,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,880,911,854,792,1330,1395,1183,1316,920,922,1293,1345,1033,1549,1319,667,1176,1766,,,,,,,,,,,,,,
Mitsubishi_ASX,,Mitsubishi_ASX,Mitsubishi_ASX,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,728,741,748,363,451,736,500,350,780,463,542,558,379,369,643,365,607,604,,,,,,,,,,,,,,
Volkswagen_Tiguan,,Volkswagen_Tiguan,Volkswagen_Tiguan,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,461,506,685,846,823,858,497,402,490,358,527,418,667,553,957,271,535,437,,,,,,,,,,,,,,
Jeep_Compass,,Jeep_Compass,Jeep_Compass,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,156,348,343,205,207,251,202,286,202,175,230,293,243,267,376,240,240,485,,,,,,,,,,,,,,
Jeep_Patriot,,Jeep_Patriot,Jeep_Patriot,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,84,243,243,189,167,200,158,225,147,126,165,178,162,201,300,220,244,427,,,,,,,,,,,,,,
Skoda_Yeti,,Skoda_Yeti,Skoda_Yeti,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,31,87,123,75,91,139,107,140,113,54,19,33,75,56,89,61,60,110,,,,,,,,,,,,,,
Holden_Trax,,Holden_Trax,Holden_Trax,Client Data:Competitor Sales and Marketing:All Sales:XV Competitors,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,,,,,,,,,,,,,,
