uniqueid,forecasting,tool tip,node name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Price_FORD_TERRITORY_2.7_TDCI_TX_AWD_SSS,,2.7 TDCI TX AWD SSS,2.7 TDCI TX AWD SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240,48240
Price_FORD_TERRITORY_2.7_TDCI_TS_SSS,,2.7 TDCI TS SSS,2.7 TDCI TS SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240,50240
Price_FORD_TERRITORY_2.7_TDCI_TS_AWD_SSS,,2.7 TDCI TS AWD SSS,2.7 TDCI TS AWD SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240,55240
Price_FORD_TERRITORY_2.7_TDCI_TITANIUM_SSS,,2.7 TDCI TITANIUM SSS,2.7 TDCI TITANIUM SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58240,58060,58060
Price_FORD_TERRITORY_4.0_TS_SSS,,4.0 TS SSS,4.0 TS SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990,46990
Price_FORD_TERRITORY_4.0_TITANIUM_SSS,,4.0 TITANIUM SSS,4.0 TITANIUM SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990,54990
Price_FORD_TERRITORY_4.0_TX_SSS,,4.0 TX SSS,4.0 TX SSS,Client Data:Competitor Price:Outback Competitors:All Models:FORD TERRITORY ,0.5,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990,39990
Price_HOLDEN_CAPTIVA_7_2.2_T/DIESEL_SX_AUTO,,2.2 T/DIESEL SX AUTO,2.2 T/DIESEL SX AUTO,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490,35490
Price_HOLDEN_CAPTIVA_7_2.2_T/DIESEL_CX_AUTO_4WD,,2.2 T/DIESEL CX AUTO 4WD,2.2 T/DIESEL CX AUTO 4WD,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490,39490
Price_HOLDEN_CAPTIVA_7_2.2_T/DIESEL_LX_AUTO_4WD,,2.2 T/DIESEL LX AUTO 4WD,2.2 T/DIESEL LX AUTO 4WD,Client Data:Competitor Price:Outback Competitors:All Models:HOLDEN CAPTIVA 7 ,0.5,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490,43490
