uniqueid,forecasting,tool tip,node name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,,,
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,SUV_2_0i_S_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_RRP,0.5,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_RRP,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_RRP,SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_RRP,0.5,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_RRP,0.5,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0
Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_RRP,,Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_RRP,,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_RRP,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,
Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_RRP,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subaru_Outback_SUV_No_of_Offers_Make_Model,,Subaru_Outback_SUV_No_of_Offers_Make_Model,Subaru_Outback_SUV_No_of_Offers_Make_Model,Client Data:Subaru Promotion:Retail Offers:Outback:Total Offers,0.5,6,6,11,4,38,17,3,29,7,3,2,1,30,12,6,0,8,8,16,8,40,3
Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Columbia_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Premium_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_Premium_Sat_Nav_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_Premium_Sat_Nav_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_Premium_Sat_Nav_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
