uniqueid,forecasting,tool tip,node name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,,,
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_DA,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_RRP,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_RRP,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_RRP,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Financing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_GiftCard_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_LimitedEdition_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_LimitedEdition_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:LimitedEdition,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_OnRoads_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_OnRoads_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:OnRoads,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Pack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Pack_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Pack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_ReducedPricing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:ReducedPricing,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_RoadsideAssist_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_RoadsideAssist_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:RoadsideAssist,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Sale_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Sale_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Servicing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Servicing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Servicing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Warranty_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5_Warranty_No_of_Offers_Make_Model_Grade,Hatchback_WRX_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Warranty,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Accessories_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Accessories_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Accessories,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_CashBack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_CashBack_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:CashBack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Demonstrator_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_DA,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_RRP,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Driveaway_Pricing_RRP,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_RRP,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Financing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_GiftCard_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_LimitedEdition_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_LimitedEdition_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:LimitedEdition,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_OnRoads_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_OnRoads_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:OnRoads,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Pack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Pack_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Pack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_ReducedPricing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:ReducedPricing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_RoadsideAssist_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_RoadsideAssist_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:RoadsideAssist,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Sale_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Sale_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Servicing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Servicing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Servicing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Warranty_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5_Warranty_No_of_Offers_Make_Model_Grade,Hatchback_WRX_Premium_AWD_2_5L_5Dr_Petrol_M5,Client Data:Subaru Promotion:Retail Offers:Impreza:Warranty,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Accessories_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Accessories_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Accessories,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_CashBack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_CashBack_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:CashBack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Demonstrator_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Driveaway_Pricing_DA,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Driveaway_Pricing_RRP,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Driveaway_Pricing_RRP,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_RRP,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Financing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Financing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Financing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_GiftCard_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_GiftCard_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:GiftCard,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_LimitedEdition_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_LimitedEdition_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:LimitedEdition,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_OnRoads_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_OnRoads_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:OnRoads,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Pack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Pack_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Pack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_ReducedPricing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:ReducedPricing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_RoadsideAssist_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_RoadsideAssist_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:RoadsideAssist,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Sale_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Sale_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Sale,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Servicing_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Servicing_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Servicing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Warranty_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5_Warranty_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_A5,Client Data:Subaru Promotion:Retail Offers:Impreza:Warranty,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Accessories_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Accessories_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Accessories,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_CashBack_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_CashBack_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:CashBack,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Demonstrator_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Demonstrator_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Demonstrator,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Driveaway_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Driveaway_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_DA,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_DA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_Driveaway_Pricing_RRP,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:Driveaway_Pricing_RRP,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_FactoryBonus_No_of_Offers_Make_Model_Grade,,Subaru_Impreza_Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6_FactoryBonus_No_of_Offers_Make_Model_Grade,Hatchback_WRX_STi_AWD_2_5L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:Impreza:FactoryBonus,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
