uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,
Subaru_XV_Sydney_Radio_2MMM_Metropolitan_Radio,,Sydney_Radio_2MMM,Sydney_Radio_2MMM,Client Data:Subaru Marketing:All Marketing:Spots:XV:Sydney:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Subaru_XV_Sydney_Radio_WSFM_Metropolitan_Radio,,Sydney_Radio_WSFM,Sydney_Radio_WSFM,Client Data:Subaru Marketing:All Marketing:Spots:XV:Sydney:Radio,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Subaru_XV_Sydney_Press_Sun_Herald_Metropolitan_Press,,Sydney_Press_Sun_Herald,Sydney_Press_Sun_Herald,Client Data:Subaru Marketing:All Marketing:Spots:XV:Sydney:Press,0.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WOI_Impreza_Adelaide,,Impreza WOI Sydney,Impreza WOI Sydney,Client Data:Subaru Sales:Impreza:Adelaide,0.5,5,4,4,5,4,4,5,4,5,4,4,5,4,4,5,4,4,5,4
Subaru_Impreza_R-Retail_Adelaide_Television_SAS7_Metropolitan_Television,,RRetail Adelaide Television SAS7,RRetail Adelaide Television SAS7,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Adelaide_Television_SBSADL_Metropolitan_Television,,Retail Adelaide Television SBSADL,Retail Adelaide Television SBSADL,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Adelaide_Television_ADS10_Metropolitan_Television,,Retail Adelaide Television ADS10,Retail Adelaide Television ADS10,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Subaru_Impreza_2.0i-Retail_Adelaide_Television_ADS10_Metropolitan_Television,,2.0iRetail Adelaide Television ADS10,2.0iRetail Adelaide Television ADS10,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Subaru_Impreza_XV_Mizuno_LE-Retail_Adelaide_Press_Sunday_Mail-Adelaide_Metropolitan_Press,,XV Mizuno LERetail Adelaide Press Sunday MailAdelaide,XV Mizuno LERetail Adelaide Press Sunday MailAdelaide,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Press,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Impreza-Retail_Adelaide_Television_SAS7_Metropolitan_Television,,Retail Adelaide Television SAS7,Retail Adelaide Television SAS7,Client Data:Subaru Marketing:All Marketing:Spots:Impreza:Adelaide:Television,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
