uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Subaru_Mentone_78_Z_Melbourne_Overall_NPS,,Subaru Mentone_78,Subaru Mentone_78,Client Data:Subaru Dealers:NPS:Overall:Melbourne,0.5,0,75,67.5,62.5,67.4,77.5,77.5,72.5,62.8,85,65,71.4,75,77.5,75,82.5,85,62.5,81.7,84.1
Subaru_Berwick_86_Z_Melbourne_Overall_NPS,,Subaru Berwick_86,Subaru Berwick_86,Client Data:Subaru Dealers:NPS:Overall:Melbourne,0.5,0,0,0,0,0,0,0,74.6,82,85,77.5,82.5,72.5,70,76.2,69.3,85,74.5,72.5,82.5
Subaru_Interactive_72_Z_Melbourne_Overall_NPS,,Subaru Interactive_72,Subaru Interactive_72,Client Data:Subaru Dealers:NPS:Overall:Melbourne,0.5,0,67.5,60,80,68.5,67.5,62.5,65,57.5,77.5,62.5,67.5,67.5,77.5,82.5,75,75,45,51.5,70
Subaru_Doncaster_61_Z_Melbourne_Overall_NPS,,Subaru Doncaster_61,Subaru Doncaster_61,Client Data:Subaru Dealers:NPS:Overall:Melbourne,0.5,0,80,67.5,70,70,75,60,72.5,77.5,72.5,77.5,72.5,75,87.5,77.5,75,82.5,82.5,77.5,67.5
Subaru_Glen_Waverley_73_Z_Melbourne_Overall_NPS,,Subaru Glen Waverley_73,Subaru Glen Waverley_73,Client Data:Subaru Dealers:NPS:Overall:Melbourne,0.5,0,72.5,67.5,72.5,75,75,80,65.1,77.5,80,65,70,92.5,82.5,80,80,67.5,62.5,90,71.8
Subaru_Ringwood_88_Z_Melbourne_Overall_NPS,,Subaru Ringwood_88,Subaru Ringwood_88,Client Data:Subaru Dealers:NPS:Overall:Melbourne,0.5,0,40,80,75,75,75,70,45,80,50,65,75,65,75,75,75,85,50,65,55
Subaru_Service_Essendon_79_Z_Melbourne_Overall_NPS,,Subaru Service Essendon_79,Subaru Service Essendon_79,Client Data:Subaru Dealers:NPS:Overall:Melbourne,0.5,0,35,35,75,62,50,75,45,85,50,80,55,75,60,70,80,75,65,85,90
Garry_Crick_Subaru_2247_A_Brisbane_Overall_NPS,,Garry Crick Subaru_2247,Garry Crick Subaru_2247,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,60,72.5,48.4,66,87.5,67.5,73.2,60.8,60.4,81.3,73.8,62.5,47.5,80.9,50,72.9,76.8,72.5,67.5
Highway_Auto_Subaru_2284_A_Brisbane_Overall_NPS,,Highway Auto Subaru_2284,Highway Auto Subaru_2284,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,0,0,21.5,72.2,32.5,55,66.7,65.2,71.3,87.5,77.1,49.4,77.5,65.5,65,65.2,68.4,78.9,70
Llewellyn_Subaru_2270_B1_Brisbane_Overall_NPS,,Llewellyn Subaru_2270,Llewellyn Subaru_2270,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,66.7,80,75,70,68.5,70,77.5,55,50,70,52.9,78.8,50,60,55,60,70,36.6,45,87.9
Subaru_Toowong_2272_A_Brisbane_Overall_NPS,,Subaru Toowong_2272,Subaru Toowong_2272,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,59.5,55,72.5,61.1,58.3,62.5,57.5,62.5,15,73.5,75,67,67.5,70.7,62.5,79.2,74.8,75,68.6
Zupps_Subaru_Mt_Gravatt_2281_A_Brisbane_Overall_NPS,,Zupps Subaru Mt Gravatt_2281,Zupps Subaru Mt Gravatt_2281,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,28.1,25.8,16.7,31.4,52.5,47.5,45,60,30,37.5,40,52.8,12.5,12.5,42.5,45,52.5,52.5,73.3
Keystar_Subaru_-_Rothwell_2266_B1_Brisbane_Overall_NPS,,Keystar Subaru - Rothwell_2266,Keystar Subaru - Rothwell_2266,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,85,75,85,90,85.6,89.5,75,88.8,66.7,76.7,90,0,72.9,0,90,47.8,72.5,55.2,86.1,78.6
Von_Bibra_Southport_Subaru_2293_A_Brisbane_Overall_NPS,,Von Bibra Southport Subaru_2293,Von Bibra Southport Subaru_2293,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,0,0,0,0,0,0,0,29.4,37.5,50,44.4,76.6,48.3,57.5,76.5,70,55,61.1,53.3
Garry_Crick_Subaru_2271_B2_Brisbane_Overall_NPS,,Garry Crick Subaru_2271,Garry Crick Subaru_2271,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,78.6
Keystar_Subaru_-_Morayfield_2267_B1_Brisbane_Overall_NPS,,Keystar Subaru - Morayfield_2267,Keystar Subaru - Morayfield_2267,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.3,66.7
Garry_Crick_Subaru_2271_C1_Brisbane_Overall_NPS,,Garry Crick Subaru_2271,Garry Crick Subaru_2271,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,41.7,50,50,49,62.5,75,60,50,62.5,37.5,100,75,75,62.5,46.2,66.1,38.2,38.2,38.2
Bartons_Subaru_2297_B2_Brisbane_Overall_NPS,,Bartons Subaru_2297,Bartons Subaru_2297,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5
Zupps_Subaru_Capalaba_2283_B2_Brisbane_Overall_NPS,,Zupps Subaru Capalaba_2283,Zupps Subaru Capalaba_2283,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,57.2,36.6,78.6,21.4,60.7,35.7,21.5,38.4,67.1,19.9,31.4,54.9,68.5,67.5,50.9,73.9,78.6,55.5,55.5,55.5
Crick's_Tweed_Subaru_2294_B2_Brisbane_Overall_NPS,,Crick's Tweed Subaru_2294,Crick's Tweed Subaru_2294,Client Data:Subaru Dealers:NPS:Overall:Brisbane,0.5,57.1,57.2,50,64.3,55.7,75,53.9,44.3,67.9,44.9,48.6,50,70.5,87.5,71.4,70,68.4,90,90,90
Subaru_Darwin_2296_B2_Northern_Overall_NPS,,Subaru Darwin_2296,Subaru Darwin_2296,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28.6
Quayside_Subaru_2249_C1_Northern_Overall_NPS,,Quayside Subaru_2249,Quayside Subaru_2249,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,0,70.9,87.5,37.5,62.5,62.5,25,75,37.5,-12.5,50,0,75,50,58.4,62.5,87.5,75,62.5,29.2
Rockhampton_Subaru_2286_B2_Northern_Overall_NPS,,Rockhampton Subaru_2286,Rockhampton Subaru_2286,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,7.2,14.3,35.7,0,32,78.6,48.8,21.5,16.7,41.7,57.1,61.4,64.3,64.3,71.5,71.4,41.1,19.1,71.4,100
Wippells_Autos_2216_B1_Northern_Overall_NPS,,Wippells Autos_2216,Wippells Autos_2216,Client Data:Subaru Dealers:NPS:Overall:Northern,0.5,80,78.4,95,63.9,77.6,85,70,70,75,65,85,70,85,90,75,85,75,95,95,95
