uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
MAKE_VEHICLES_WHICH_ARE_GOOD_VALUE_FOR_MONEY_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WHICH_ARE_GOOD_VALUE_FOR_MONEY_,MAKE_VEHICLES_WHICH_ARE_GOOD_VALUE_FOR_MONEY_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.159,0.124,0.116,0.12,0.115,0.113,0.108,0.104,0.11,0.106,0.107,0.092,0.075,0.084,0.099,0.149,0.133,0.132,0.105,0.12
BUILD_VEHICLES_FOR_AUSTRALIAN_ROADS_AND_CONDITIONS_SUBARU_Vehicle_Image,,BUILD_VEHICLES_FOR_AUSTRALIAN_ROADS_AND_CONDITIONS_,BUILD_VEHICLES_FOR_AUSTRALIAN_ROADS_AND_CONDITIONS_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.149,0.17,0.155,0.173,0.14,0.138,0.124,0.158,0.151,0.151,0.12,0.139,0.149,0.167,0.163,0.173,0.178,0.173,0.176,0.16
MAKE_VEHICLES_WITH_GOOD_RESALE_VALUE_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_GOOD_RESALE_VALUE_,MAKE_VEHICLES_WITH_GOOD_RESALE_VALUE_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.228,0.272,0.265,0.265,0.212,0.189,0.149,0.182,0.195,0.211,0.167,0.174,0.155,0.147,0.106,0.145,0.131,0.145,0.101,0.116
MAKE_VEHICLES_THAT_ARE_FUN_TO_DRIVE_SUBARU_Vehicle_Image,,MAKE_VEHICLES_THAT_ARE_FUN_TO_DRIVE_,MAKE_VEHICLES_THAT_ARE_FUN_TO_DRIVE_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.256,0.275,0.266,0.254,0.183,0.198,0.182,0.235,0.229,0.229,0.181,0.198,0.183,0.183,0.169,0.199,0.175,0.195,0.198,0.214
MAKE_VEHICLES_FOR_ON_AND_OFF_ROAD_DRIVING_SUBARU_Vehicle_Image,,MAKE_VEHICLES_FOR_ON_AND_OFF_ROAD_DRIVING_,MAKE_VEHICLES_FOR_ON_AND_OFF_ROAD_DRIVING_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.312,0.326,0.318,0.352,0.343,0.325,0.306,0.348,0.333,0.337,0.263,0.289,0.267,0.287,0.291,0.315,0.298,0.308,0.272,0.28
MAKE_VEHICLES_WITH_GOOD_ENGINE_PERFORMANCE_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_GOOD_ENGINE_PERFORMANCE_,MAKE_VEHICLES_WITH_GOOD_ENGINE_PERFORMANCE_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.225,0.247,0.298,0.332,0.302,0.241,0.197,0.212,0.213,0.201,0.155,0.146,0.178,0.24,0.244,0.242,0.187,0.204,0.183,0.197
MAKE_VEHICLES_WITH_TOUGH_OFF_ROAD_CAPABILITY_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_TOUGH_OFF_ROAD_CAPABILITY_,MAKE_VEHICLES_WITH_TOUGH_OFF_ROAD_CAPABILITY_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.187,0.182,0.167,0.167,0.143,0.13,0.146,0.19,0.233,0.199,0.143,0.126,0.125,0.128,0.113,0.13,0.116,0.142,0.132,0.157
MAKE_VEHICLES_WITH_GOOD_EXTERIOR_DESIGN_AND_APPEARANCE_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_GOOD_EXTERIOR_DESIGN_AND_APPEARANCE_,MAKE_VEHICLES_WITH_GOOD_EXTERIOR_DESIGN_AND_APPEARANCE_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.261,0.272,0.244,0.243,0.197,0.25,0.211,0.252,0.205,0.203,0.121,0.161,0.163,0.181,0.153,0.161,0.135,0.134,0.157,0.188
MAKE_VEHICLES_WITH_SUPERIOR_ROAD_HANDLING_SUBARU_Vehicle_Image,,MAKE_VEHICLES_WITH_SUPERIOR_ROAD_HANDLING_,MAKE_VEHICLES_WITH_SUPERIOR_ROAD_HANDLING_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.251,0.278,0.261,0.253,0.22,0.226,0.234,0.252,0.237,0.198,0.167,0.162,0.202,0.204,0.195,0.2,0.178,0.192,0.175,0.193
MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR_SUBARU_Vehicle_Image,,MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR_,MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR_,Client Data:Roy Morgan:Vehicle_Image,0.5,0.163,0.225,0.211,0.196,0.139,0.16,0.154,0.158,0.131,0.112,0.078,0.093,0.111,0.133,0.125,0.125,0.1,0.11,0.078,0.092
