uniqueid,forecasting,tool tip,node name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebral_Palsy_Ch_7_Sydney_Total,,Cerebral_Palsy_Ch_7_Sydney_Total,Cerebral_Palsy_Ch_7_Sydney_Total,Client Data:Subaru Marketing:All Marketing:CPMS:Other,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerebral_Palsy_Ch_7_Total,,Cerebral_Palsy_Ch_7_Total,Cerebral_Palsy_Ch_7_Total,Client Data:Subaru Marketing:All Marketing:CPMS:Other,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Adelaide_Southern_Region_Radio_Aust.Traffic_Network_(Adel.),,Eyesight_GL_10535005/6_Adelaide_Southern_Region_Radio_Aust.Traffic_Network_(Adel.),Eyesight_GL_10535005/6_Adelaide_Southern_Region_Radio_Aust.Traffic_Network_(Adel.),Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Adelaide_Southern_Region_Television_GEM_ADE,,Eyesight_GL_10535005/6_Adelaide_Southern_Region_Television_GEM_ADE,Eyesight_GL_10535005/6_Adelaide_Southern_Region_Television_GEM_ADE,Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.35,0,0.1,0,0,0,0,0
Eyesight_GL_10535005_6_Adelaide_Southern_Region_Radio_Mix_102.3_Adelaide,,Eyesight_GL_10535005/6_Adelaide_Southern_Region_Radio_Mix_102.3_Adelaide,Eyesight_GL_10535005/6_Adelaide_Southern_Region_Radio_Mix_102.3_Adelaide,Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Adelaide_Southern_Region_Radio_Triple_M_Adelaide,,Eyesight_GL_10535005/6_Adelaide_Southern_Region_Radio_Triple_M_Adelaide,Eyesight_GL_10535005/6_Adelaide_Southern_Region_Radio_Triple_M_Adelaide,Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Brisbane_Brisbane_Radio_Aust.Traffic_Network_(Bris.),,Eyesight_GL_10535005/6_Brisbane_Brisbane_Radio_Aust.Traffic_Network_(Bris.),Eyesight_GL_10535005/6_Brisbane_Brisbane_Radio_Aust.Traffic_Network_(Bris.),Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Brisbane_Brisbane_Radio_MIX_97.3_Brisbane,,Eyesight_GL_10535005/6_Brisbane_Brisbane_Radio_MIX_97.3_Brisbane,Eyesight_GL_10535005/6_Brisbane_Brisbane_Radio_MIX_97.3_Brisbane,Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Brisbane_Brisbane_Radio_Triple_M_Brisbane,,Eyesight_GL_10535005/6_Brisbane_Brisbane_Radio_Triple_M_Brisbane,Eyesight_GL_10535005/6_Brisbane_Brisbane_Radio_Triple_M_Brisbane,Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Darwin_Northern_Region_Television_7Mate_DAR,,Eyesight_GL_10535005/6_Darwin_Northern_Region_Television_7Mate_DAR,Eyesight_GL_10535005/6_Darwin_Northern_Region_Television_7Mate_DAR,Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eyesight_GL_10535005_6_Darwin_Northern_Region_Television_NTD8_DAR,,Eyesight_GL_10535005/6_Darwin_Northern_Region_Television_NTD8_DAR,Eyesight_GL_10535005/6_Darwin_Northern_Region_Television_NTD8_DAR,Client Data:Subaru Marketing:All Marketing:CPMS:Eyesight_GL,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
