uniqueid,forecasting,tool tip,node name,Category,delta,Aug-10,Monthly,,,,,,,,,,,,,,,,,,,,
Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6_ReducedPricing_No_of_Offers_Make_Model_Grade,,Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6_ReducedPricing,SUV_2_0i_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:ReducedPricing,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_XV_SUV_2_0i_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_XV_SUV_2_0i_L_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,SUV_2_0i_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_C_Driveaway_Pricing_DA,SUV_2_0i_AWD_2L_5Dr_Petrol_M6,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,,Subaru_XV_SUV_2_0i_S_AWD_2L_5Dr_Petrol_M6_Driveaway_Pricing_DA,SUV_2_0i_L_AWD_2L_5Dr_Petrol_C,Client Data:Subaru Promotion:Retail Offers:XV:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_Premium_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_0D_Premium_Sat_Nav_AWD_2L_5Dr_Diesel_M6_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,,Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Subaru_Outback_SUV_2_5i_AWD_2_5L_5Dr_Petrol_C_Driveaway_Pricing_DA,Client Data:Subaru Promotion:Retail Offers:Outback:Driveaway_Pricing_DA,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
